fare,sex,embarked,survived,pclass,sibsp,age,parch,sexx,emb,agee,FARE,sib,parch
52,male,S,0,1,0,47,0,1,1,2,1,0,0
30.0708,male,C,0,2,1,32.5,0,1,0,1,0,1,0
8.05,male,S,0,3,0,55.5,0,1,1,2,0,0,0
29.125,male,Q,0,3,4,4,1,1,2,0,0,2,1
11.1333,female,S,1,3,1,1,1,0,1,0,0,1,1
13,female,S,0,2,0,24,0,0,1,1,0,0,0
83.1583,female,C,1,1,0,24,0,0,0,1,1,0,0
7.8958,male,S,0,3,0,28,0,1,1,1,0,0,0
15.9,male,S,1,3,1,3,1,1,1,0,0,1,1
211.5,male,C,0,1,0,27,2,1,0,1,2,0,2
7.8542,female,S,0,3,0,31,0,0,1,1,0,0,0
26.55,male,S,0,1,0,45,0,1,1,2,0,0,0
13,female,S,1,2,0,34,0,0,1,1,0,0,0
26.55,male,C,1,1,0,35,0,1,0,1,0,0,0
39,female,S,1,2,2,4,1,0,1,0,0,2,1
7.8958,male,S,0,3,0,26,0,1,1,1,0,0,0
73.5,male,S,0,2,2,32,0,1,1,1,1,2,0
46.9,male,S,0,3,5,14,2,1,1,0,0,2,2
14.4542,female,C,0,3,0,18,1,0,0,1,0,0,1
52,male,S,1,1,1,48,0,1,1,2,1,1,0
7.925,male,S,1,3,0,31,0,1,1,1,0,0,0
13,male,S,0,2,0,39,0,1,1,1,0,0,0
31.275,female,S,0,3,4,6,2,0,1,0,0,2,2
61.9792,male,C,0,1,0,65,1,1,0,3,1,0,1
9.825,female,S,0,3,1,20,0,0,1,1,0,1,0
14.5,female,S,0,3,1,47,0,0,1,2,0,1,0
26,female,S,1,2,1,29,0,0,1,1,0,1,0
7.7958,male,S,1,3,0,27,0,1,1,1,0,0,0
39.6875,male,S,0,3,4,1,1,1,1,0,0,2,1
13,male,S,0,2,0,30,0,1,1,1,0,0,0
146.5208,female,C,1,1,0,58,0,0,0,2,2,0,0
12.275,male,S,0,2,0,33,0,1,1,1,0,0,0
0,male,S,1,3,0,25,0,1,1,1,0,0,0
8.85,female,S,0,3,0,24,0,0,1,1,0,0,0
134.5,female,C,1,1,1,40,1,0,0,2,2,1,1
134.5,female,C,1,1,0,41,0,0,0,2,2,0,0
75.25,female,C,1,1,1,60,0,0,0,2,1,1,0
12.65,female,S,1,2,0,28,0,0,1,1,0,0,0
36.75,male,S,1,2,1,8,1,1,1,0,0,1,1
26.55,male,S,0,1,0,62,0,1,1,2,0,0,0
110.8833,female,C,1,1,1,39,1,0,0,1,2,1,1
79.65,female,S,1,1,0,18,2,0,1,1,1,0,2
27.9,female,S,0,3,3,2,2,0,1,0,0,2,2
8.4333,male,S,0,3,0,21,0,1,1,1,0,0,0
76.7292,male,C,1,1,0,27,0,1,0,1,1,0,0
41.5792,male,C,0,2,1,25,2,1,0,1,0,1,2
78.85,male,S,0,1,1,36,0,1,1,1,1,1,0
31,female,C,1,1,0,30,0,0,0,1,0,0,0
26,female,S,0,2,1,44,0,0,1,2,0,1,0
13,female,S,1,2,0,42,0,0,1,2,0,0,0
5,male,S,0,1,0,33,0,1,1,1,0,0,0
7.25,male,S,0,3,1,22,0,1,1,1,0,1,0
8.05,male,S,0,3,0,20,0,1,1,1,0,0,0
31.3875,female,S,1,3,1,38,5,0,1,1,0,1,2
10.5,male,S,0,2,0,32,0,1,1,1,0,0,0
77.2875,male,S,0,1,0,21,1,1,1,1,1,0,1
14.4583,female,C,0,3,0,17,0,0,0,1,0,0,0
7.8542,male,S,0,3,1,18,1,1,1,1,0,1,1
7.05,male,S,0,3,0,24,0,1,1,1,0,0,0
7.125,male,S,0,3,0,22,0,1,1,1,0,0,0
29.7,male,C,0,1,0,37,1,1,0,1,0,0,1
13,male,S,0,2,0,36,0,1,1,1,0,0,0
4.0125,male,C,0,3,0,20,0,1,0,1,0,0,0
15.7417,female,C,1,3,0,1,2,0,0,0,0,0,2
19.2583,female,C,1,3,2,5,1,0,0,0,0,2,1
91.0792,male,C,1,1,1,25,0,1,0,1,1,1,0
7.75,male,Q,1,3,0,29,0,1,2,1,0,0,0
24.15,male,S,0,3,1,36,1,1,1,1,0,1,1
56.9292,male,C,1,1,1,49,0,1,0,2,1,1,0
30.5,male,S,1,1,0,27,0,1,1,1,0,0,0
25.5875,male,S,0,1,0,47,0,1,1,2,0,0,0
7.4958,male,S,0,3,0,36,0,1,1,1,0,0,0
227.525,female,C,1,1,1,18,0,0,0,1,2,1,0
65,female,S,1,2,1,48,2,0,1,2,1,1,2
13,male,S,0,2,0,39,0,1,1,1,0,0,0
10.5,male,S,0,2,0,35,0,1,1,1,0,0,0
27.9,male,S,0,3,3,10,2,1,1,0,0,2,2
14.4542,male,C,0,3,1,26,0,1,0,1,0,1,0
7.8542,male,S,0,3,0,20,0,1,1,1,0,0,0
34.6542,male,C,0,1,0,71,0,1,0,3,0,0,0
7.8958,female,S,0,3,0,28,0,0,1,1,0,0,0
31.3875,male,S,0,3,4,9,2,1,1,0,0,2,2
26.55,male,S,1,1,0,45,0,1,1,2,0,0,0
7.225,male,C,0,3,0,45.5,0,1,0,2,0,0,0
10.5,male,S,0,2,0,24,0,1,1,1,0,0,0
10.4625,female,S,0,3,1,29,1,0,1,1,0,1,1
512.3292,female,C,1,1,0,35,0,0,0,1,2,0,0
39.6875,male,S,0,3,4,16,1,1,1,1,0,2,1
78.85,female,S,1,1,0,26,0,0,1,1,1,0,0
55,female,S,1,1,0,22,1,0,1,1,1,0,1
13,female,S,0,2,0,38,0,0,1,1,0,0,0
27.7208,male,C,0,2,1,29,0,1,0,1,0,1,0
9.5,male,S,0,3,0,20,0,1,1,1,0,0,0
8.05,male,S,0,3,0,34,0,1,1,1,0,0,0
30.5,male,C,1,1,0,32,0,1,0,1,0,0,0
7.8958,male,S,0,3,0,19,0,1,1,1,0,0,0
6.75,female,Q,0,3,0,18,0,0,2,1,0,0,0
13,male,S,1,2,0,31,0,1,1,1,0,0,0
71,male,S,0,1,1,70,1,1,1,3,1,1,1
86.5,female,S,1,1,0,33,0,0,1,1,1,0,0
7.25,male,S,0,3,0,25,0,1,1,1,0,0,0
7.2292,male,C,0,3,0,30,0,1,0,1,0,0,0
0,male,S,0,1,0,39,0,1,1,1,0,0,0
30,male,C,1,1,0,26,0,1,0,1,0,0,0
31.275,male,S,0,3,1,39,5,1,1,1,0,1,2
10.5,female,S,1,2,0,29,0,0,1,1,0,0,0
73.5,male,S,0,2,0,21,0,1,1,1,1,0,0
7.7333,female,Q,1,3,0,16,0,0,2,1,0,0,0
13,male,S,0,2,0,18,0,1,1,1,0,0,0
13,male,S,0,2,0,28,0,1,1,1,0,0,0
135.6333,male,C,0,1,0,22,0,1,0,1,2,0,0
227.525,female,C,1,1,0,42,0,0,0,2,2,0,0
27.75,male,C,0,1,0,30,0,1,0,1,0,0,0
27.75,female,S,1,2,1,33,2,0,1,1,0,1,2
7.7958,male,S,0,3,0,24,0,1,1,1,0,0,0
7.75,male,Q,0,3,0,40.5,0,1,2,2,0,0,0
106.425,female,C,1,1,0,30,0,0,0,1,2,0,0
10.5,male,S,1,2,0,62,0,1,1,2,0,0,0
7.925,male,S,1,3,0,32,0,1,1,1,0,0,0
52.5542,male,S,1,1,1,42,0,1,1,2,1,1,0
10.5,female,S,1,2,0,27,0,0,1,1,0,0,0
13,male,S,0,2,0,50,0,1,1,2,0,0,0
7.05,male,S,0,3,0,25,0,1,1,1,0,0,0
20.575,male,S,1,3,1,1,2,1,1,0,0,1,2
7.8958,male,S,0,3,0,25,0,1,1,1,0,0,0
120,male,S,1,1,1,11,2,1,1,0,2,1,2
56.4958,male,S,1,3,0,32,0,1,1,1,1,0,0
10.5,male,S,0,2,0,28,0,1,1,1,0,0,0
7.925,female,S,1,3,0,26,0,0,1,1,0,0,0
7.65,male,S,0,3,0,25,0,1,1,1,0,0,0
9,male,S,0,3,0,22,0,1,1,1,0,0,0
9.5,male,S,1,3,0,29,0,1,1,1,0,0,0
7.925,male,S,0,3,2,37,0,1,1,1,0,2,0
15.0458,male,C,0,2,0,23,0,1,0,1,0,0,0
7.925,male,S,0,3,0,21,0,1,1,1,0,0,0
9.5,male,S,0,3,0,28,0,1,1,1,0,0,0
8.05,male,S,1,3,0,18,0,1,1,1,0,0,0
31,male,C,1,1,0,40,0,1,0,2,0,0,0
76.2917,female,C,1,1,0,32,0,0,0,1,1,0,0
135.6333,female,S,1,1,0,35,0,0,1,1,2,0,0
7.75,female,S,0,3,0,45,0,0,1,2,0,0,0
29.125,male,Q,0,3,4,7,1,1,2,0,0,2,1
12.875,male,C,0,2,0,36,0,1,0,1,0,0,0
35.5,male,S,0,1,0,45,0,1,1,2,0,0,0
7.775,male,S,0,3,0,21,0,1,1,1,0,0,0
26,female,S,1,2,1,28,0,0,1,1,0,1,0
8.6625,male,S,0,3,0,17,0,1,1,1,0,0,0
59.4,female,C,1,1,1,54,0,0,0,2,1,1,0
11.5,male,S,0,2,2,23,1,1,1,1,0,2,1
26,male,S,1,2,1,32,0,1,1,1,0,1,0
110.8833,male,C,1,1,0,17,2,1,0,1,2,0,2
40.125,male,C,0,1,0,36,0,1,0,1,0,0,0
79.2,male,C,1,1,1,60,1,1,0,2,1,1,1
78.2667,female,C,1,1,1,52,0,0,0,2,1,1,0
0,male,S,0,3,0,49,0,1,1,2,0,0,0
77.9583,female,S,1,1,0,21,0,0,1,1,1,0,0
7.225,male,C,0,3,0,40,0,1,0,2,0,0,0
8.05,male,S,0,3,0,24.5,0,1,1,1,0,0,0
8.05,male,S,0,3,0,44,0,1,1,2,0,0,0
34.375,female,S,0,3,1,48,3,0,1,2,0,1,2
120,female,S,1,1,1,36,2,0,1,1,2,1,2
37.0042,male,C,1,2,0,1,2,1,0,0,0,0,2
10.5,male,S,0,2,0,16,0,1,1,1,0,0,0
52.5542,female,S,1,1,1,47,1,0,1,2,1,1,1
7.8792,female,Q,1,3,0,19,0,0,2,1,0,0,0
263,female,S,1,1,3,23,2,0,1,1,2,2,2
16.1,male,S,0,3,0,44,1,1,1,2,0,0,1
22.025,female,S,1,3,0,4,2,0,1,0,0,0,2
7.775,female,S,0,3,0,25,0,0,1,1,0,0,0
52.5542,male,S,1,1,1,37,1,1,1,1,1,1,1
79.65,male,S,0,1,1,52,1,1,1,2,1,1,1
7.2292,male,C,0,3,0,23.5,0,1,0,1,0,0,0
7.25,male,S,0,3,0,22,0,1,1,1,0,0,0
13,male,S,0,2,0,25,0,1,1,1,0,0,0
7.775,male,S,0,3,0,19,0,1,1,1,0,0,0
7.925,male,S,1,3,0,44,0,1,1,2,0,0,0
32.5,female,S,1,2,1,34,1,0,1,1,0,1,1
26,female,S,1,2,0,19,0,0,1,1,0,0,0
26,female,S,1,2,1,42,0,0,1,2,0,1,0
26.55,male,S,1,1,0,34,0,1,1,1,0,0,0
30.5,male,S,1,1,0,52,0,1,1,2,0,0,0
7.8958,male,C,1,3,0,29,0,1,0,1,0,0,0
7.5208,male,S,0,3,0,22,0,1,1,1,0,0,0
29.7,male,C,0,1,0,58,0,1,0,2,0,0,0
71,female,S,1,1,0,36,2,0,1,1,1,0,2
12.35,male,Q,0,2,0,57,0,1,2,2,0,0,0
13,female,S,1,2,0,28,0,0,1,1,0,0,0
9.225,male,S,0,3,0,20,0,1,1,1,0,0,0
110.8833,male,C,0,1,1,49,1,1,0,2,2,1,1
21,female,S,1,2,3,30,0,0,1,1,0,2,0
7.925,female,S,0,3,1,25,0,0,1,1,0,1,0
7.75,male,Q,0,3,0,31,0,1,2,1,0,0,0
14.5,male,S,1,2,1,0.67,1,1,1,0,0,1,1
8.5167,male,C,1,3,0,0.42,1,1,0,0,0,0,1
37.0042,male,C,0,2,1,31,1,1,0,1,0,1,1
80,female,,1,1,0,62,0,0,2,2,1,0,0
7.8542,male,S,0,3,0,23,0,1,1,1,0,0,0
14.1083,male,S,0,3,2,41,0,1,1,2,0,2,0
7.8958,male,S,0,3,0,33,0,1,1,1,0,0,0
71.2833,female,C,1,1,1,38,0,0,0,1,1,1,0
21.075,male,S,0,3,3,2,1,1,1,0,0,2,1
35.5,male,S,1,1,0,28,0,1,1,1,0,0,0
21.075,female,S,0,3,3,8,1,0,1,0,0,2,1
26,female,S,1,2,1,29,0,0,1,1,0,1,0
7.75,male,Q,0,3,0,70.5,0,1,2,3,0,0,0
11.5,male,S,0,2,0,18,0,1,1,1,0,0,0
39,male,S,1,2,2,1,1,1,1,0,0,2,1
7.8542,female,S,1,3,1,19,0,0,1,1,0,1,0
27,male,S,0,2,1,42,0,1,1,2,0,1,0
26,male,S,0,2,1,44,0,1,1,2,0,1,0
8.05,male,S,1,3,0,19,0,1,1,1,0,0,0
8.05,male,S,0,3,0,19,0,1,1,1,0,0,0
120,male,S,1,1,1,36,2,1,1,1,2,1,2
21,male,S,0,2,1,34,0,1,1,1,0,1,0
27.75,male,S,0,2,1,36,2,1,1,1,0,1,2
26.55,male,S,0,1,0,56,0,1,1,2,0,0,0
9.8375,female,S,0,3,0,22,0,0,1,1,0,0,0
30.5,male,S,0,1,0,55,0,1,1,2,0,0,0
49.5042,male,C,0,1,0,71,0,1,0,3,0,0,0
8.05,male,S,0,3,0,21,0,1,1,1,0,0,0
26,female,S,1,2,0,33,2,0,1,1,0,0,2
26,female,S,1,2,1,36,0,0,1,1,0,1,0
26,female,S,1,2,1,19,0,0,1,1,0,1,0
7.8958,male,S,0,3,0,40,0,1,1,2,0,0,0
51.4792,female,S,1,1,2,53,0,0,1,2,1,2,0
8.05,male,S,0,3,0,35,0,1,1,1,0,0,0
7.0542,male,S,0,3,0,51,0,1,1,2,0,0,0
52,male,S,0,1,1,31,0,1,1,1,1,1,0
57,male,S,1,1,1,31,0,1,1,1,1,1,0
13,male,S,0,2,0,52,0,1,1,2,0,0,0
25.9292,female,S,1,1,0,49,0,0,1,2,0,0,0
6.975,male,S,1,3,0,27,0,1,1,1,0,0,0
53.1,female,S,1,1,1,33,0,0,1,1,1,1,0
39.6875,male,S,0,3,4,7,1,1,1,0,0,2,1
8.1583,male,S,0,3,0,19,0,1,1,1,0,0,0
20.575,male,S,0,3,1,26,2,1,1,1,0,1,2
63.3583,male,C,1,1,0,23,1,1,0,1,1,0,1
11.2417,male,C,1,3,1,12,0,1,0,0,0,1,0
6.75,male,Q,0,3,0,19,0,1,2,1,0,0,0
8.6625,male,S,0,3,0,17,0,1,1,1,0,0,0
13,female,S,1,2,0,32,0,0,1,1,0,0,0
27.7208,female,C,1,1,0,44,0,0,0,2,0,0,0
6.4958,male,S,0,3,0,34,0,1,1,1,0,0,0
113.275,female,C,1,1,1,31,0,0,0,1,2,1,0
16.1,male,S,0,3,1,30,0,1,1,1,0,1,0
26.25,male,S,0,2,1,43,1,1,1,2,0,1,1
9.225,male,S,0,3,0,23,0,1,1,1,0,0,0
13,female,S,1,2,0,36,0,0,1,1,0,0,0
7.925,male,S,0,3,2,28,0,1,1,1,0,2,0
8.6625,female,S,0,3,0,20,0,0,1,1,0,0,0
19.2583,female,C,1,3,2,0.75,1,0,0,0,0,2,1
151.55,female,S,0,1,1,25,2,0,1,1,2,1,2
7.2292,male,C,0,3,1,17,1,1,0,1,0,1,1
39.6,female,C,1,1,1,48,0,0,0,2,0,1,0
7.8542,male,S,1,3,0,32,0,1,1,1,0,0,0
8.05,male,S,0,3,0,22,0,1,1,1,0,0,0
65,female,S,1,2,1,24,2,0,1,1,1,1,2
14.4,male,S,0,3,1,34,1,1,1,1,0,1,1
39.6875,female,S,0,3,0,41,5,0,1,2,0,0,2
15.5,female,Q,0,3,1,32,1,0,2,1,0,1,1
8.05,male,S,0,3,0,43,0,1,1,2,0,0,0
39,male,S,0,2,1,60,1,1,1,2,0,1,1
211.3375,female,S,1,1,0,15,1,0,1,1,2,0,1
7.2292,male,C,1,3,0,20,0,1,0,1,0,0,0
39.6875,male,S,0,3,4,2,1,1,1,0,0,2,1
13.8583,female,C,1,2,1,27,0,0,0,1,0,1,0
51.8625,male,S,0,1,0,54,0,1,1,2,1,0,0
16.7,female,S,1,3,1,4,1,0,1,0,0,1,1
47.1,male,S,0,1,0,28,0,1,1,1,0,0,0
23,female,S,1,2,0,34,1,0,1,1,0,0,1
8.6542,male,S,0,3,0,33,0,1,1,1,0,0,0
79.2,male,C,0,1,0,24,0,1,0,1,1,0,0
13,male,S,0,2,0,42,0,1,1,2,0,0,0
0,male,S,0,3,0,36,0,1,1,1,0,0,0
10.4625,female,S,0,3,0,2,1,0,1,0,0,0,1
7.25,male,S,0,3,0,22,0,1,1,1,0,0,0
7.8958,male,S,0,3,0,24,0,1,1,1,0,0,0
24,male,C,0,2,1,30,0,1,0,1,0,1,0
263,female,S,1,1,3,24,2,0,1,1,2,2,2
69.3,female,C,1,1,0,24,0,0,0,1,1,0,0
52,female,S,1,1,1,35,0,0,1,1,1,1,0
10.5,male,S,0,2,0,23,0,1,1,1,0,0,0
55.9,male,S,0,1,1,50,0,1,1,2,1,1,0
26.55,male,S,1,1,0,48,0,1,1,2,0,0,0
13.7917,female,C,1,2,0,23,0,0,0,1,0,0,0
22.525,male,S,0,3,0,28,0,1,1,1,0,0,0
57.9792,female,C,1,1,0,44,1,0,0,2,1,0,1
7.925,male,S,0,3,0,39,0,1,1,1,0,0,0
26,male,S,0,1,0,64,0,1,1,2,0,0,0
7.225,male,C,1,3,0,22,0,1,0,1,0,0,0
13,male,S,0,2,0,25,0,1,1,1,0,0,0
9.8417,female,S,1,3,0,18,0,0,1,1,0,0,0
26.2875,male,S,1,1,0,35,0,1,1,1,0,0,0
49.5042,female,C,1,1,0,24,0,0,0,1,0,0,0
18.7875,male,C,0,3,0,11,0,1,0,0,0,0,0
16.1,male,S,0,3,1,24,0,1,1,1,0,1,0
9.5,male,S,0,3,0,33,0,1,1,1,0,0,0
7.75,male,S,0,3,0,18,0,1,1,1,0,0,0
8.05,male,S,0,3,0,30.5,0,1,1,1,0,0,0
18,female,S,0,3,1,31,0,0,1,1,0,1,0
52,male,S,0,1,1,42,0,1,1,2,1,1,0
11.2417,female,C,1,3,1,14,0,0,0,0,0,1,0
83.475,male,S,0,1,1,45,0,1,1,2,1,1,0
34.375,male,S,0,3,1,16,3,1,1,1,0,1,2
7.65,female,S,1,3,0,21,0,0,1,1,0,0,0
14.5,male,S,0,3,0,40.5,2,1,1,2,0,0,2
13,male,S,0,2,0,19,0,1,1,1,0,0,0
83.475,female,S,1,1,1,35,0,0,1,1,1,1,0
7.775,male,S,0,3,0,29,0,1,1,1,0,0,0
13.5,male,S,0,2,0,59,0,1,1,2,0,0,0
86.5,female,S,1,1,0,30,0,0,1,1,1,0,0
8.6625,male,C,0,3,0,33,0,1,0,1,0,0,0
56.9292,female,C,1,1,0,30,0,0,0,1,1,0,0
135.6333,female,C,1,1,0,36,0,0,0,1,2,0,0
7.875,male,S,0,3,0,29,0,1,1,1,0,0,0
7.775,male,S,0,3,1,25,0,1,1,1,0,1,0
13,female,S,1,2,0,28,0,0,1,1,0,0,0
81.8583,male,S,1,1,0,4,2,1,1,0,1,0,2
56.4958,male,S,1,3,0,26,0,1,1,1,1,0,0
13.5,male,S,0,2,0,28,0,1,1,1,0,0,0
21.075,female,S,0,3,0,29,4,0,1,1,0,0,2
16.1,female,S,0,3,1,26,0,0,1,1,0,1,0
7.8542,male,S,0,3,0,20,0,1,1,1,0,0,0
46.9,female,S,0,3,1,43,6,0,1,2,0,1,2
7.8542,male,S,0,3,1,26,0,1,1,1,0,1,0
13,male,S,0,2,0,23,0,1,1,1,0,0,0
512.3292,male,C,1,1,0,35,0,1,0,1,2,0,0
20.25,male,S,0,3,1,16,1,1,1,1,0,1,1
23,female,S,1,2,1,4,1,0,1,0,0,1,1
23,female,S,1,2,1,54,3,0,1,2,0,1,2
7.8875,male,S,0,3,0,26,0,1,1,1,0,0,0
93.5,female,S,1,1,1,52,1,0,1,2,1,1,1
18.75,male,S,1,2,1,0.83,1,1,1,0,0,1,1
83.1583,female,C,1,1,1,39,1,0,0,1,1,1,1
8.6625,male,S,0,3,0,17,0,1,1,1,0,0,0
25.9292,female,S,1,1,0,48,0,0,1,2,0,0,0
11.1333,female,S,1,3,0,27,2,0,1,1,0,0,2
30.0708,female,C,1,2,1,14,0,0,0,0,0,1,0
16,female,S,1,2,0,55,0,0,1,2,0,0,0
7.8,male,S,0,3,0,21,0,1,1,1,0,0,0
27.9,male,S,0,3,3,4,2,1,1,0,0,2,2
7.925,female,S,1,3,4,17,2,0,1,1,0,2,2
9.2167,male,S,0,3,0,16,0,1,1,1,0,0,0
7.775,male,S,0,3,0,26,0,1,1,1,0,0,0
7.75,female,Q,1,3,0,22,0,0,2,1,0,0,0
14.4542,female,C,0,3,0,45,1,0,0,2,0,0,1
7.25,male,S,0,3,0,30,0,1,1,1,0,0,0
7.7958,male,S,1,3,0,21,0,1,1,1,0,0,0
7.7958,male,S,0,3,0,22,0,1,1,1,0,0,0
7.925,male,S,1,3,0,39,0,1,1,1,0,0,0
7.75,male,S,0,3,0,51,0,1,1,2,0,0,0
24.15,female,S,0,3,0,10,2,0,1,0,0,0,2
13,male,S,0,2,0,48,0,1,1,2,0,0,0
8.6625,male,S,0,3,0,38,0,1,1,1,0,0,0
9.5875,female,S,1,3,0,63,0,0,1,2,0,0,0
