fare,sex,embarked,survived,pclass,sibsp,age,parch,sexx,emb,agee,FARE,sib,parch
24.15,male,S,0,3,2,24,0,1,1,1,0,2,0
15.7417,male,C,1,3,1,20,1,1,0,1,0,1,1
69.3,female,C,1,1,0,24,0,0,0,1,1,0,0
7.55,female,S,1,3,0,23,0,0,1,1,0,0,0
7.925,male,S,1,3,1,20,0,1,1,1,0,1,0
8.6833,female,S,1,3,0,31,0,0,1,1,0,0,0
7.775,female,S,0,3,0,18,0,0,1,1,0,0,0
12.475,female,S,1,3,0,27,1,0,1,1,0,0,1
14.4542,female,C,1,3,1,15,0,0,0,1,0,1,0
7.8958,male,S,0,3,0,19,0,1,1,1,0,0,0
53.1,female,S,1,1,1,35,0,0,1,1,1,1,0
27.7208,male,C,0,1,0,40,0,1,0,2,0,0,0
14.4542,female,C,0,3,1,14.5,0,0,0,0,0,1,0
77.2875,male,S,0,1,0,54,1,1,1,2,1,0,1
36.75,male,S,0,2,1,19,1,1,1,1,0,1,1
8.05,male,S,1,3,0,16,0,1,1,1,0,0,0
13,male,S,0,2,0,27,0,1,1,1,0,0,0
26.25,female,S,1,2,0,8,2,0,1,0,0,0,2
90,male,Q,0,1,2,44,0,1,2,2,1,2,0
19.5,female,S,1,2,0,41,1,0,1,2,0,0,1
7.8542,female,S,1,3,0,26,0,0,1,1,0,0,0
26,female,S,1,2,1,24,0,0,1,1,0,1,0
13,female,S,1,2,0,36,0,0,1,1,0,0,0
66.6,male,S,0,1,1,29,0,1,1,1,1,1,0
7.05,male,S,0,3,0,35,0,1,1,1,0,0,0
19.5,female,S,1,2,0,13,1,0,1,0,0,0,1
7.05,male,S,0,3,0,38,0,1,1,1,0,0,0
7.0458,male,S,0,3,1,29,0,1,1,1,0,1,0
78.2667,female,C,1,1,1,54,0,0,0,2,1,1,0
86.5,female,S,1,1,0,16,0,0,1,1,1,0,0
20.525,male,S,0,3,1,33,1,1,1,1,0,1,1
13.5,male,S,0,2,0,52,0,1,1,2,0,0,0
12.475,male,S,1,3,0,6,1,1,1,0,0,0,1
8.05,male,S,0,3,0,34,0,1,1,1,0,0,0
79.2,male,C,0,1,0,46,0,1,0,2,1,0,0
8.6625,male,S,1,3,0,27,0,1,1,1,0,0,0
83.1583,female,C,1,1,0,56,1,0,0,2,1,0,1
26.55,female,S,1,1,0,58,0,0,1,2,0,0,0
13,male,S,1,2,0,34,0,1,1,1,0,0,0
7.2292,male,C,0,3,0,22,0,1,0,1,0,0,0
10.5,female,S,1,2,0,17,0,0,1,1,0,0,0
7.8958,male,S,0,3,0,28,0,1,1,1,0,0,0
6.975,male,S,0,3,0,45,0,1,1,2,0,0,0
7.8958,male,C,0,3,0,33,0,1,0,1,0,0,0
7.05,male,S,0,3,0,20,0,1,1,1,0,0,0
13,male,S,0,2,0,25,0,1,1,1,0,0,0
26,male,S,0,2,0,36.5,2,1,1,1,0,0,2
12.525,male,S,0,2,0,51,0,1,1,2,0,0,0
9.35,male,S,0,3,0,22,0,1,1,1,0,0,0
7.75,male,Q,0,3,0,65,0,1,2,3,0,0,0
29,female,S,1,2,1,22,1,0,1,1,0,1,1
57.9792,female,C,1,1,0,16,1,0,0,1,1,0,1
7.75,female,Q,0,3,0,21,0,0,2,1,0,0,0
7.125,male,S,0,3,0,35,0,1,1,1,0,0,0
31.275,female,S,0,3,1,39,5,0,1,1,0,1,2
76.7292,male,C,1,1,1,48,0,1,0,2,1,1,0
35.5,male,C,1,1,0,56,0,1,0,2,0,0,0
26,male,S,0,2,1,25,0,1,1,1,0,1,0
11.5,male,S,0,2,0,18,0,1,1,1,0,0,0
24.15,female,S,0,3,1,30,1,0,1,1,0,1,1
11.5,male,S,0,2,1,21,0,1,1,1,0,1,0
11.1333,male,S,1,3,1,4,1,1,1,0,0,1,1
26,female,S,1,2,0,25,1,0,1,1,0,0,1
7.75,male,Q,0,3,0,32,0,1,2,1,0,0,0
8.05,male,S,0,3,0,24,0,1,1,1,0,0,0
26,male,S,0,2,1,34,0,1,1,1,0,1,0
31.275,female,S,0,3,4,2,2,0,1,0,0,2,2
34.375,female,S,0,3,2,9,2,0,1,0,0,2,2
61.3792,male,C,0,1,0,51,1,1,0,2,1,0,1
26,male,S,1,2,1,3,1,1,1,0,0,1,1
26.55,male,S,0,1,0,62,0,1,1,2,0,0,0
7.8958,male,S,0,3,0,22,0,1,1,1,0,0,0
164.8667,female,S,1,1,0,31,2,0,1,1,2,0,2
28.5,male,S,0,1,0,45.5,0,1,1,2,0,0,0
9.5,male,S,0,3,0,28,0,1,1,1,0,0,0
12,female,C,1,2,0,17,0,0,0,1,0,0,0
16.7,female,S,1,3,0,24,2,0,1,1,0,0,2
90,female,Q,1,1,1,33,0,0,2,1,1,1,0
13,female,S,1,2,0,18,2,0,1,1,0,0,2
26.55,male,S,0,1,0,65,0,1,1,3,0,0,0
21,male,S,0,2,1,34,0,1,1,1,0,1,0
8.05,male,S,0,3,0,50,0,1,1,2,0,0,0
8.05,male,S,0,3,0,30,0,1,1,1,0,0,0
15.9,male,S,1,3,1,9,1,1,1,0,0,1,1
7.4958,male,S,0,3,0,24,0,1,1,1,0,0,0
26.25,female,S,1,2,0,7,2,0,1,0,0,0,2
31.275,female,S,0,3,4,11,2,0,1,0,0,2,2
106.425,male,C,0,1,1,50,0,1,0,2,2,1,0
8.05,male,S,0,3,0,16,0,1,1,1,0,0,0
8.05,male,S,0,3,0,44,0,1,1,2,0,0,0
23,female,S,1,2,0,18,1,0,1,1,0,0,1
26,male,S,0,2,0,39,0,1,1,1,0,0,0
151.55,female,S,1,1,0,22,0,0,1,1,2,0,0
7.775,male,S,0,3,0,33,0,1,1,1,0,0,0
211.3375,female,S,1,1,0,29,0,0,1,1,2,0,0
9.5,male,S,0,3,0,24,0,1,1,1,0,0,0
7.775,male,S,0,3,0,74,0,1,1,3,0,0,0
8.05,male,S,0,3,0,35,0,1,1,1,0,0,0
29.125,male,Q,0,3,4,2,1,1,2,0,0,2,1
41.5792,female,C,1,2,1,3,2,0,0,0,0,1,2
7.925,male,S,0,3,0,21,0,1,1,1,0,0,0
31.3875,female,S,1,3,4,5,2,0,1,0,0,2,2
7.225,male,C,0,3,0,30,0,1,0,1,0,0,0
20.2125,female,S,0,3,0,41,2,0,1,2,0,0,2
15.2458,female,C,1,3,0,29,2,0,0,1,0,0,2
0,male,S,0,1,0,40,0,1,1,2,0,0,0
10.5,male,S,0,2,0,36,0,1,1,1,0,0,0
0,male,S,0,3,0,19,0,1,1,1,0,0,0
26,female,S,0,2,1,26,1,0,1,1,0,1,1
6.2375,male,S,0,3,0,61,0,1,1,2,0,0,0
18,male,S,0,3,2,16,0,1,1,1,0,2,0
8.6625,male,S,0,3,0,42,0,1,1,2,0,0,0
7.925,male,S,0,3,0,32,0,1,1,1,0,0,0
9.825,female,S,0,3,1,21,0,0,1,1,0,1,0
263,male,S,0,1,1,64,4,1,1,2,2,1,2
108.9,male,C,0,1,1,18,0,1,0,1,2,1,0
55.9,female,S,1,1,1,39,0,0,1,1,1,1,0
10.5,male,S,0,2,0,26,0,1,1,1,0,0,0
16.1,male,S,0,3,0,21,0,1,1,1,0,0,0
13,male,S,0,2,0,23,0,1,1,1,0,0,0
7.775,male,S,0,3,0,18,0,1,1,1,0,0,0
512.3292,male,C,1,1,0,36,1,1,0,1,2,0,1
10.1708,male,S,0,3,0,19,0,1,1,1,0,0,0
26.2875,male,S,1,1,0,42,0,1,1,2,0,0,0
13,male,S,0,2,0,34,0,1,1,1,0,0,0
10.5,female,S,0,2,0,57,0,0,1,2,0,0,0
7.55,male,S,0,3,0,42,0,1,1,2,0,0,0
39.4,female,S,1,1,0,16,1,0,1,1,0,0,1
9,male,S,0,3,0,47,0,1,1,2,0,0,0
26,male,S,0,2,0,35,0,1,1,1,0,0,0
8.05,male,S,0,3,0,21,0,1,1,1,0,0,0
18,female,S,0,3,2,18,0,0,1,1,0,2,0
46.9,male,S,0,3,5,11,2,1,1,0,0,2,2
46.9,female,S,0,3,5,16,2,0,1,1,0,2,2
53.1,male,S,0,1,1,37,0,1,1,1,1,1,0
20.525,male,S,1,3,0,9,2,1,1,0,0,0,2
8.05,male,S,0,3,0,51,0,1,1,2,0,0,0
10.5,male,S,0,2,0,19,0,1,1,1,0,0,0
7.8542,male,S,0,3,0,28,0,1,1,1,0,0,0
247.5208,female,C,1,1,0,50,1,0,0,2,2,0,1
12.35,female,Q,1,2,0,30,0,0,2,1,0,0,0
8.05,male,S,1,3,0,45,0,1,1,2,0,0,0
6.4958,male,S,0,3,1,18,0,1,1,1,0,1,0
13,male,S,0,2,0,30,0,1,1,1,0,0,0
20.2125,male,S,0,3,1,18,1,1,1,1,0,1,1
7.125,male,S,0,3,0,17,0,1,1,1,0,0,0
34.375,female,S,0,3,2,21,2,0,1,1,0,2,2
7.25,male,S,0,3,0,21,0,1,1,1,0,0,0
93.5,female,S,1,1,0,30,0,0,1,1,1,0,0
30,male,S,1,1,0,80,0,1,1,3,0,0,0
7.7417,male,Q,0,3,0,25,0,1,2,1,0,0,0
9.4833,male,S,0,3,0,29,0,1,1,1,0,0,0
7.8958,male,S,0,3,0,23,0,1,1,1,0,0,0
7.125,male,S,0,3,0,41,0,1,1,2,0,0,0
7.775,male,S,0,3,0,16,0,1,1,1,0,0,0
7.75,female,Q,0,3,0,30.5,0,0,2,1,0,0,0
13,male,S,0,2,0,34,0,1,1,1,0,0,0
9.35,female,S,1,3,0,18,1,0,1,1,0,0,1
24,female,C,1,2,1,28,0,0,0,1,0,1,0
9.475,female,S,0,3,1,40,0,0,1,2,0,1,0
7.2292,male,C,0,3,0,28.5,0,1,0,1,0,0,0
27.75,female,S,1,2,1,5,2,0,1,0,0,1,2
247.5208,male,C,0,1,0,24,1,1,0,1,2,0,1
26.2833,female,S,1,1,0,19,2,0,1,1,0,0,2
15.5,male,Q,0,3,1,40,1,1,2,2,0,1,1
18.7875,male,C,1,3,0,26,0,1,0,1,0,0,0
31.3875,male,S,1,3,4,3,2,1,1,0,0,2,2
7.775,male,S,1,3,1,25,0,1,1,1,0,1,0
17.8,male,S,0,3,1,25,0,1,1,1,0,1,0
27.9,male,S,0,3,1,40,4,1,1,2,0,1,2
15.85,male,S,0,3,1,28,0,1,1,1,0,1,0
7.7333,male,Q,0,3,0,21,0,1,2,1,0,0,0
14.4,female,S,0,3,1,28,1,0,1,1,0,1,1
10.5,male,S,0,2,0,31,0,1,1,1,0,0,0
10.5,female,S,1,2,0,50,0,0,1,2,0,0,0
10.5,female,S,1,2,0,34,0,0,1,1,0,0,0
8.6625,female,S,0,3,0,30,0,0,1,1,0,0,0
49.5,female,C,1,1,0,22,2,0,0,1,0,0,2
15,male,S,0,2,0,47,0,1,1,2,0,0,0
7.25,male,S,0,3,0,47,0,1,1,2,0,0,0
27,female,S,1,2,2,24,1,0,1,1,0,2,1
32.3208,male,S,0,1,0,61,0,1,1,2,0,0,0
27.9,female,S,0,3,3,9,2,0,1,0,0,2,2
133.65,male,S,1,1,2,50,0,1,1,2,2,2,0
39,female,S,1,2,1,40,1,0,1,2,0,1,1
13.4167,female,C,1,3,0,4,1,0,0,0,0,0,1
77.9583,female,S,1,1,1,51,0,0,1,2,1,1,0
12.475,female,S,1,3,0,5,0,0,1,0,0,0,0
7.2292,female,C,1,3,0,13,0,0,0,0,0,0,0
29.125,male,Q,0,3,4,8,1,1,2,0,0,2,1
26,male,S,0,2,0,16,0,1,1,1,0,0,0
7.775,male,S,0,3,0,31,0,1,1,1,0,0,0
33,male,S,0,2,0,28,1,1,1,1,0,0,1
164.8667,female,S,1,1,1,45,1,0,1,2,2,1,1
13,male,S,0,2,0,24,0,1,1,1,0,0,0
7.225,female,C,1,3,0,15,0,0,0,1,0,0,0
21,female,S,0,2,1,27,0,0,1,1,0,1,0
76.7292,female,C,1,1,1,49,0,0,0,2,1,1,0
10.5,female,S,1,2,0,21,0,0,1,1,0,0,0
7.25,male,S,0,3,0,59,0,1,1,2,0,0,0
27.9,female,S,0,3,1,45,4,0,1,2,0,1,2
15.85,male,S,0,3,1,32,0,1,1,1,0,1,0
7.925,female,S,1,3,0,27,0,0,1,1,0,0,0
7.25,male,S,0,3,0,20.5,0,1,1,1,0,0,0
153.4625,female,S,1,1,0,58,1,0,1,2,2,0,1
262.375,female,C,1,1,2,18,2,0,0,1,2,2,2
14,male,S,0,2,0,54,0,1,1,2,0,0,0
153.4625,male,S,0,1,0,38,1,1,1,1,2,0,1
13,female,S,1,2,0,40,0,0,1,2,0,0,0
113.275,female,C,1,1,1,23,0,0,0,1,2,1,0
18.75,male,S,1,2,1,3,1,1,1,0,0,1,1
26.55,male,S,1,1,0,28,0,1,1,1,0,0,0
89.1042,male,C,1,1,1,49,0,1,0,2,1,1,0
38.5,male,S,0,1,0,47,0,1,1,2,0,0,0
46.9,male,S,0,3,5,9,2,1,1,0,0,2,2
90,female,S,1,1,1,35,0,0,1,1,1,1,0
26,male,S,0,2,0,27,0,1,1,1,0,0,0
7.8958,male,S,0,3,0,19,0,1,1,1,0,0,0
26.3875,male,S,1,1,0,36,0,1,1,1,0,0,0
7.8542,male,S,0,3,0,21,0,1,1,1,0,0,0
227.525,female,C,1,1,0,38,0,0,0,1,2,0,0
8.3625,male,S,0,3,0,32,0,1,1,1,0,0,0
30,male,S,0,1,0,29,0,1,1,1,0,0,0
6.4375,male,C,0,3,0,34.5,0,1,0,1,0,0,0
31.275,male,S,0,3,4,4,2,1,1,0,0,2,2
7.8542,female,S,0,3,0,14,0,0,1,0,0,0,0
80,female,,1,1,0,38,0,0,2,1,1,0,0
21,male,S,0,2,1,29,0,1,1,1,0,1,0
15.75,female,S,1,2,0,40,0,0,1,2,0,0,0
8.4042,male,S,0,3,0,42,1,1,1,2,0,0,1
9.5,male,S,1,3,0,30,0,1,1,1,0,0,0
151.55,male,S,1,1,1,0.92,2,1,1,0,2,1,2
20.525,female,S,1,3,1,31,1,0,1,1,0,1,1
120,female,S,1,1,1,14,2,0,1,0,2,1,2
34.0208,male,S,0,1,0,47,0,1,1,2,0,0,0
14.4542,male,C,0,3,1,27,0,1,0,1,0,1,0
10.5,male,S,0,2,0,70,0,1,1,3,0,0,0
7.225,male,C,0,3,0,25,0,1,0,1,0,0,0
13.5,female,S,1,2,0,45,0,0,1,2,0,0,0
16.1,male,S,0,3,0,28.5,0,1,1,1,0,0,0
13,female,S,1,2,0,30,0,0,1,1,0,0,0
53.1,male,S,0,1,1,19,0,1,1,1,1,1,0
7.7958,male,S,0,3,0,28,0,1,1,1,0,0,0
26.25,female,S,1,2,1,31,1,0,1,1,0,1,1
9.8458,male,S,0,3,0,20,0,1,1,1,0,0,0
29.125,female,Q,0,3,0,39,5,0,2,1,0,0,2
263,male,S,0,1,3,19,2,1,1,1,2,2,2
82.1708,male,C,0,1,1,28,0,1,0,1,1,1,0
15.85,female,S,1,3,3,33,0,0,1,1,0,2,0
8.05,male,S,0,3,0,29,0,1,1,1,0,0,0
61.175,male,S,0,1,1,46,0,1,1,2,1,1,0
33.5,male,S,0,1,0,61,0,1,1,2,0,0,0
30.6958,male,C,0,1,0,56,0,1,0,2,0,0,0
21,female,S,1,2,0,35,0,0,1,1,0,0,0
10.5,male,S,0,2,0,30,0,1,1,1,0,0,0
10.5,male,S,1,2,0,19,0,1,1,1,0,0,0
20.25,female,S,1,3,1,35,1,0,1,1,0,1,1
55.4417,male,C,1,1,1,25,0,1,0,1,1,1,0
18.75,female,S,1,2,2,24,3,0,1,1,0,2,2
12.2875,female,S,1,3,0,2,1,0,1,0,0,0,1
26.2875,male,S,1,1,0,36,0,1,1,1,0,0,0
7.8958,male,S,0,3,0,32,0,1,1,1,0,0,0
7.775,female,S,1,3,0,22,0,0,1,1,0,0,0
14.5,male,S,0,3,0,19,0,1,1,1,0,0,0
15.55,male,S,0,3,1,36,0,1,1,1,0,1,0
7.8958,male,S,0,3,0,30,0,1,1,1,0,0,0
19.2583,female,C,1,3,2,0.75,1,0,0,0,0,2,1
26.55,male,S,0,1,0,60,0,1,1,2,0,0,0
7.65,male,S,0,3,0,19,0,1,1,1,0,0,0
53.1,male,S,1,1,1,27,0,1,1,1,1,1,0
0,male,S,0,1,0,38,0,1,1,1,0,0,0
29,male,S,1,2,0,0.83,2,1,1,0,0,0,2
8.05,male,S,0,3,0,22,0,1,1,1,0,0,0
73.5,male,S,0,2,2,21,0,1,1,1,1,2,0
13,female,S,1,2,0,32.5,0,0,1,1,0,0,0
7.1417,male,S,1,3,0,24,0,1,1,1,0,0,0
56.4958,male,S,0,3,0,28,0,1,1,1,1,0,0
7.75,female,Q,1,3,0,16,0,0,2,1,0,0,0
13,male,S,0,2,0,30,0,1,1,1,0,0,0
91.0792,female,C,1,1,1,19,0,0,0,1,1,1,0
151.55,female,S,0,1,1,2,2,0,1,0,2,1,2
7.2292,male,C,0,3,1,15,1,1,0,1,0,1,1
21.075,female,S,0,3,3,3,1,0,1,0,0,2,1
7.25,female,S,1,3,0,22,0,0,1,1,0,0,0
8.05,male,S,1,3,0,32,0,1,1,1,0,0,0
31.275,female,S,0,3,4,9,2,0,1,0,0,2,2
41.5792,female,C,1,2,1,22,2,0,0,1,0,1,2
153.4625,female,S,1,1,0,40,0,0,1,2,2,0,0
7.925,male,S,0,3,0,32,0,1,1,1,0,0,0
113.275,male,C,0,1,0,58,2,1,0,2,2,0,2
7.7958,male,S,0,3,0,18,0,1,1,1,0,0,0
7.65,male,S,0,3,0,42,0,1,1,2,0,0,0
7.0542,male,S,0,3,1,17,0,1,1,1,0,1,0
13,male,S,0,2,0,23,0,1,1,1,0,0,0
8.3,male,S,0,3,0,18,0,1,1,1,0,0,0
8.6625,male,S,0,3,0,21,0,1,1,1,0,0,0
26.55,male,S,1,1,0,51,0,1,1,2,0,0,0
7.8958,male,S,0,3,0,26,0,1,1,1,0,0,0
10.5167,female,S,0,3,0,22,0,0,1,1,0,0,0
10.5,male,S,0,2,0,66,0,1,1,3,0,0,0
8.6625,male,S,0,3,2,26,0,1,1,1,0,2,0
56.4958,male,S,1,3,0,32,0,1,1,1,1,0,0
12.475,female,S,1,3,0,30,0,0,1,1,0,0,0
7.8958,male,S,0,3,0,38,0,1,1,1,0,0,0
7.75,female,S,1,3,0,22,0,0,1,1,0,0,0
15.85,female,S,1,3,1,24,0,0,1,1,0,1,0
7.8958,male,S,0,3,0,36,0,1,1,1,0,0,0
90,male,S,1,1,1,38,0,1,1,1,1,1,0
26,female,S,1,2,0,50,1,0,1,2,0,0,1
108.9,female,C,1,1,1,17,0,0,0,1,2,1,0
7.8958,male,S,0,3,0,27,0,1,1,1,0,0,0
26,male,S,1,2,1,2,1,1,1,0,0,1,1
13,female,S,1,2,0,24,0,0,1,1,0,0,0
7.8958,male,S,0,3,0,22,0,1,1,1,0,0,0
26,female,S,1,2,1,2,1,0,1,0,0,1,1
17.4,female,S,1,3,1,36,0,0,1,1,0,1,0
30,female,S,1,2,1,25,1,0,1,1,0,1,1
73.5,male,S,0,2,2,24,0,1,1,1,1,2,0
33,female,S,1,2,0,6,1,0,1,0,0,0,1
8.6625,male,S,0,3,0,20,0,1,1,1,0,0,0
7.8542,male,S,0,3,0,48,0,1,1,2,0,0,0
7.4958,female,S,1,3,0,18,0,0,1,1,0,0,0
7.925,female,S,0,3,0,23,0,0,1,1,0,0,0
6.45,male,S,0,3,0,43,0,1,1,2,0,0,0
7.925,male,S,0,3,0,20,0,1,1,1,0,0,0
15.2458,female,C,0,3,1,9,1,0,0,0,0,1,1
19.2583,female,C,1,3,0,24,3,0,0,1,0,0,2
7.05,male,S,0,3,0,25,0,1,1,1,0,0,0
13,male,S,0,2,0,27,0,1,1,1,0,0,0
30,female,S,1,1,0,19,0,0,1,1,0,0,0
8.0292,female,Q,1,3,0,15,0,0,2,1,0,0,0
17.8,female,S,0,3,1,18,0,0,1,1,0,1,0
66.6,female,S,1,1,1,22,0,0,1,1,1,1,0
8.05,male,S,0,3,0,30,0,1,1,1,0,0,0
28.7125,female,C,0,1,0,50,0,0,0,2,0,0,0
10.5,male,S,0,2,0,29,0,1,1,1,0,0,0
14.5,female,S,1,2,0,24,2,0,1,1,0,0,2
26,male,S,0,2,1,54,0,1,1,2,0,1,0
77.9583,female,S,1,1,1,63,0,0,1,2,1,1,0
9.5,male,S,0,3,0,16,0,1,1,1,0,0,0
13,male,S,1,2,0,42,0,1,1,2,0,0,0
73.5,male,S,0,2,0,18,0,1,1,1,1,0,0
46.9,male,S,0,3,5,1,2,1,1,0,0,2,2
26,male,S,0,2,0,46,0,1,1,2,0,0,0
8.05,male,S,0,3,0,26,0,1,1,1,0,0,0
26.25,female,S,1,2,1,45,1,0,1,2,0,1,1
9.5875,female,S,0,3,0,37,0,0,1,1,0,0,0
10.5,female,S,1,2,0,50,0,0,1,2,0,0,0
79.65,female,S,1,1,1,39,1,0,1,1,1,1,1
26,male,S,0,2,0,54,0,1,1,2,0,0,0
26,male,S,0,2,1,37,0,1,1,1,0,1,0
26.25,male,S,0,2,1,31,1,1,1,1,0,1,1
39.6875,male,S,0,3,4,14,1,1,1,0,0,2,1
262.375,female,C,1,1,2,21,2,0,0,1,2,2,2
211.3375,female,S,1,1,0,43,1,0,1,2,2,0,1
57,female,S,1,1,1,17,0,0,1,1,1,1,0
24.15,male,S,0,3,0,39,0,1,1,1,0,0,0
7.8958,male,C,0,3,0,35,0,1,0,1,0,0,0
50.4958,male,S,0,1,0,31,0,1,1,1,1,0,0
